 t(yr) LimitsTHETA(1) THETA(2) THETA(3) SALT(1)  SALT(2)  SALT(3)  DIC(1)   DIC(2)   DIC(3)   ALK(1)   ALK(2)   ALK(3)   PO4(1)   PO4(2)   PO4(3)   NO3(1)   NO3(2)   NO3(3)   FeT(1)   FeT(2)   FeT(3)   LT(1)    LT(2)    LT(3)    Exp(1)   Exp(2)   EXP(3)   P*  OCPCO2(1) OCPCO2(2)  OCPCO2(3) ATPCO2
    3700 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2377.43540 2279.77841 2285.71447 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  759.95490  770.36658  342.82998  774.30972
    3800 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2377.50775 2279.87453 2285.64314 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  760.49686  770.90912  342.63085  774.86894
    3900 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2377.57203 2279.95990 2285.57973 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  760.97862  771.39138  342.45398  775.36603
    4000 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2377.62913 2280.03573 2285.52336 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  761.40688  771.82010  342.29686  775.80792
    4100 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2377.67987 2280.10310 2285.47326 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  761.78761  772.20122  342.15726  776.20076
    4200 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2377.72495 2280.16296 2285.42871 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  762.12608  772.54006  342.03323  776.55000
    4300 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2377.76502 2280.21614 2285.38910 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  762.42701  772.84130  341.92301  776.86050
    4400 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2377.80063 2280.26341 2285.35389 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  762.69456  773.10914  341.82505  777.13656
    4500 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2377.83228 2280.30541 2285.32258 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  762.93245  773.34728  341.73799  777.38201
    4600 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2377.86042 2280.34275 2285.29475 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  763.14396  773.55901  341.66061  777.60025
    4700 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2377.88542 2280.37593 2285.27000 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  763.33204  773.74728  341.59182  777.79430
    4800 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2377.90766 2280.40543 2285.24799 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  763.49927  773.91469  341.53067  777.96685
    4900 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2377.92742 2280.43166 2285.22842 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  763.64796  774.06355  341.47632  778.12027
    5000 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2377.94499 2280.45497 2285.21102 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  763.78019  774.19591  341.42799  778.25670
    5100 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2377.96062 2280.47569 2285.19554 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  763.89777  774.31361  341.38503  778.37801
    5200 222    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2377.97451 2280.49412 2285.18178 2399.01961 2399.01961 2399.01961    2.48039    2.48039    2.48039   35.72549   35.72549   35.72549    0.00001    0.00127    0.00001    0.00000    0.00000    0.00000   -0.00000   -0.00000   -0.00000    0.00000  764.00232  774.41828  341.34683  778.48589
